,score,names_wiki+googleart+wga+meisterwerke,dates_wiki+googleart+wga+meisterwerke,names_moma,dates_moma,is_same,artist_id_wiki+googleart+wga+meisterwerke,artist_id_moma,idx,total_works_count,year_diff
284.0,100.0,"[zille, heinrich]","[1904.0, 1918.0]",[heinrich zille],"[1858, 1929]",1,"meisterwerke_zille, heinrich",moma_mdvt-heinrich-zille-6568,"(10037, 4333)",7.0,"[46.0, 11.0]"
100.0,92.0,"[bracquemond, marie, marie bracquemond, marie quivoron]","[1840, 1916]",[f. bracquemond],"[1833, 1914]",0,"wga_bracquemond, marie, (1840-1916)",moma_mdvt-f.-bracquemond-6719,"(1541, 3134)",24.0,"[7, 2]"
420.0,84.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri manguin],"[1874, 1949]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-manguin-3725,"(4405, 949)",411.0,"[14, 6]"
63.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri de toulouse-lautrec],"[1864, 1901]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-de-toulouse-lautrec-5910,"(949, 4387)",511.0,"[4, 42]"
70.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri rivière],"[1864, 1951]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-rivière-4946,"(949, 4411)",411.0,"[4, 8]"
69.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri (paul herrmann) héran],"[1864, 1940]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-(paul-herrmann)-héran-2601,"(949, 4383)",409.0,"[4, 3]"
68.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri meunier],"[1873, 1922]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-meunier-3952,"(949, 4407)",409.0,"[13, 21]"
67.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri gerbault],"[1863, 1930]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-gerbault-40732,"(949, 4396)",410.0,"[3, 13]"
66.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri-gustave jossot],"[1866, 1951]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-gustave-jossot-2945,"(949, 4399)",409.0,"[6, 8]"
65.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri-gabriel ibels],"[1867, 1936]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-gabriel-ibels-2791,"(949, 4393)",420.0,"[7, 7]"
64.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri gaudier-brzeska],"[1891, 1915]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-gaudier-brzeska-2097,"(949, 4394)",410.0,"[31, 28]"
