,score,names_wga,dates_wga,names_artuk,dates_artuk,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma,artist_id_artuk,Unnamed: 9,Unnamed: 10,Unnamed: 11
1114,100.0,"[smart, john]","[1741, 1811]","[john, sanders, j. a., sanders, john a., sanders, john arnold, saunders, john arnold]","[1801, 1811]",0,"wga_smart, john, (1741-1811)",artuk_john,"(8156, 3196)",9.0,"[60, 0]"
1115,100.0,"[solario, antonio]","[1502, 1514]","[solario, antonio]","[1500.0, 1518]",1,"wga_solario, antonio, (1502-1514)","artuk_solario, antonio, (active 1502-1518)","(8162, 5489)",7.0,"[2.0, 4]"
1116,96.0,"[sorgh, hendrick maertensz.]","[1610, 1670]","[sorgh, hendrik martensz.]","[1609, 1670]",1,"wga_sorgh, hendrick maertensz., (1610-1670)","artuk_sorgh, hendrik martensz., (1609-1670)","(8169, 5507)",23.0,"[1, 0]"
1117,100.0,[spinello aretino],"[1345, 1410]",[spinello aretino],"[1350, 1410]",1,"wga_spinello aretino, (1345-1410)","artuk_spinello aretino, (1350-1410)","(3173, 5536)",50.0,"[5, 0]"
1118,100.0,"[stom, matthias, matthias stomer, matthias stom]","[1600, 1652]","[stom, matthias]","[1600, 1650]",1,"wga_stom, matthias, (1600-1650)","artuk_stom, matthias, (1600-1650)","(1545, 5627)",54.0,"[0, 2]"
1119,88.0,"[susini, francesco]","[1585, 1653]","[furini, francesco]","[1603, 1646]",0,"wga_susini, francesco, (1585-1653)","artuk_furini, francesco, (1603-1646)","(8223, 2123)",15.0,"[18, 7]"
1120,100.0,"[sustris, lambert, lambert sustris]","[1515, 1584]","[sustris, lambert]","[1515, 1570]",1,"wga_sustris, lambert, (1515-1560)","artuk_sustris, lambert, (1515-1570)","(2606, 5685)",30.0,"[0, 14]"
1121,100.0,"[tassi, agostino, agostino tassi]","[1578, 1644]","[tassi, agostino]","[1579, 1644]",1,"wga_tassi, agostino, (1578-1644)","artuk_tassi, agostino, (1579-1644)","(3623, 5739)",20.0,"[1, 0]"
1122,86.0,"[tischbein, johann heinrich the elder, tischbein d. a., johann heinrich]","[1722, 1789]","[müntz, johann heinrich]","[1727, 1798]",0,"wga_tischbein, johann heinrich the elder, (1722-1789)","artuk_müntz, johann heinrich, (1727-1798)","(8271, 4339)",14.0,"[5, 9]"
1123,100.0,"[tiziano vecelli, titian, tiziano vecellio, tizian]","[1488, 1578.0]",[titian],"[1488, 1576]",1,"wga_tiziano vecellio, (1490-1576)","artuk_titian, (1488-1576)","(2134, 5834)",894.0,"[0, 2.0]"
1124,97.0,"[vaardt, jan van der]","[1653, 1727]","[van der vaart, jan]","[1647, 1727]",1,"wga_vaardt, jan van der, (1653-1727)","artuk_van der vaart, jan, (1647-1727)","(8606, 5997)",15.0,"[6, 0]"
1125,84.0,"[vaccaro, lorenzo]","[1655, 1706]","[castro, lorenzo a]","[1664, 1700.0]",0,"wga_vaccaro, lorenzo, (1655-1706)","artuk_castro, lorenzo a, (active 1664-1700)","(8607, 935)",13.0,"[9, 6.0]"
1126,100.0,"[vanderlyn, john, john vanderlyn]","[1775, 1852]","[john, sanders, j. a., sanders, john a., sanders, john arnold, saunders, john arnold]","[1801, 1811]",0,"wga_vanderlyn, john, (1775-1852)",artuk_john,"(2905, 3196)",23.0,"[26, 41]"
1127,100.0,"[vecchia, pietro della]","[1602, 1678]",[pietro della vecchia],"[1603, 1678]",1,"wga_vecchia, pietro della, (1602-1678)","artuk_pietro della vecchia, (1603-1678)","(8623, 4727)",14.0,"[1, 0]"
