,"score","names_wiki","dates_wiki","names_googleart","dates_googleart","is_same","artist_id_wiki","artist_id_googleart","Unnamed: 9"
0,85,"[alexandre cabanel]","[1823, 1889]","[alexandre calame]","[1810, 1864]",0,"wiki_alexandre-cabanel","googleart_m0c4d6l",
12,85,"[robert bateman]","[1842, 1922]","[robert bevan]","[1865, 1925]",0,"wiki_robert-bateman","googleart_m04gmfqy",
13,85,"[spyros papaloukas, σπύρος παπαλουκάς]","[1892, 1957]","[spyrus papalucas]","[1892, 1957]",1,"wiki_spyros-papaloukas","googleart_g121zc56y",
15,86,"[william gilbert foster]","[1855, 1906]","[gilbert gaul, william gilbert gaul]","[1855, 1919]",0,"wiki_william-gilbert-foster","googleart_m09v3g3g",
9,87,"[nicolas tournier]","[1590, 1639]","[nicolas regnier, nicolas régnier]","[1591, 1667]",0,"wiki_nicolas-tournier","googleart_m02pvdlt",
11,90,"[richard deacon, richard deacon cbe]","[1949, 1949]","[richard demarco]","[1972.0, 1973.0]",0,"wiki_richard-deacon","googleart_m06vf96",
6,91,"[baron ladislaus josephus balthasar eustachius mednyánszky, laszlo mednyanszky]","[1852, 1919]","[ladislav mednyánszky, lászló mednyánszky]","[1852, 1919]",1,"wiki_laszlo-mednyanszky","googleart_m02w71hh",
3,92,"[ivan kramskoy, иван крамской]","[1837, 1887]","[ivan kramskoi]","[1837, 1887]",1,"wiki_ivan-kramskoy","googleart_m03pl4g",
2,93,"[edmund charles tarbell]","[1862, 1938]","[edmund c. tarbell]","[1862, 1938]",1,"wiki_edmund-charles-tarbell","googleart_m01kzc4",
4,93,"[jose maria velasco gomez]","[1860.0, 1909.0]","[josé maría velasco gómez]","[1840, 1912]",1,"wiki_jose-maria-velasco","googleart_m03cpt_z",
10,94,"[pericles pantazis, πανταζής περικλής]","[1849, 1884]","[pantazis  periklis, périclès pantazis]","[1849, 1884]",1,"wiki_pericles-pantazis","googleart_m02w5w76",
7,95,"[leon bakst, лейб-хаим (лев) розенберг]","[1866, 1924]","[lev bakst, léon bakst]","[1866, 1924]",1,"wiki_leon-bakst","googleart_m04flhj",
5,96,"[juli gonzález i pellicer, julio gonzalez]","[1876, 1942]","[julio gonzález]","[1876, 1942]",1,"wiki_julio-gonzalez","googleart_m08msp6",
1,97,"[bartolome bermejo, bartolomé de cárdenas]","[1440, 1501]","[bartolomé bermejo]","[1440, 1498]",1,"wiki_bartolome-bermejo","googleart_m0279_23",
8,98,"[morton livingston shamberg, morton shamberg]","[1881, 1918]","[morton livingston schamberg]","[1881, 1918]",1,"wiki_morton-shamberg","googleart_m0h645xk",
14,98,"[theo van rysselberghe, théophile van rysselberghe]","[1862, 1926]","[théo van rysselberghe]","[1862, 1926]",1,"wiki_theo-van-rysselberghe","googleart_m05kckz",
16,99,"[joseph mallord william turner, william turner]","[1775, 1851]","[william turner]","[1789, 1862]",0,"wiki_william-turner","googleart_m0285ph2",
18,95,"[maerten van heemskerck, marten jacobsz heemskerk van veen]","[1498, 1574]","[maarten van heemskerck]","[1498, 1574]",1,"wiki_maerten-van-heemskerck","googleart_m03hgn_",
19,100,"[andrew warhola, jr., andy warhol]","[1928, 1987]","[jr]","[2001.0, 2013.0]",0,"wiki_andy-warhol","googleart_m0dgq66j",
20,100,"[ben, benjamin vautier]","[1962.0, 1998.0]","[ricky maynard, ricky maynard  | ben lomond/cape portland peoples]","[1953, 1953]",0,"wiki_ben","googleart_m0t502qr",
21,100,"[ben, benjamin vautier]","[1962.0, 1998.0]","[howard ben tre, howard ben tré]","[1949, 1949]",0,"wiki_ben","googleart_m0420fk",
22,100,"[ben, benjamin vautier]","[1962.0, 1998.0]","[ben wilson, ben wilson, chewing gum man]","[1963, 1963]",0,"wiki_ben","googleart_m03cjks_",
23,100,"[cy twombly, edwin parker ""cy"" twombly, jr.]","[1928, 2011]","[jr]","[2001.0, 2013.0]",0,"wiki_cy-twombly","googleart_m0dgq66j",
24,100,"[cy twombly, edwin parker ""cy"" twombly, jr.]","[1928, 2011]","[jr, low bros]","[2005.0, 2015.0]",0,"wiki_cy-twombly","googleart_t219d95kf0c",
25,100,"[dan flavin, daniel nicholas flavin jr.]","[1933, 1996]","[jr]","[2001.0, 2013.0]",0,"wiki_dan-flavin","googleart_m0dgq66j",
26,100,"[dan flavin, daniel nicholas flavin jr.]","[1933, 1996]","[jr, low bros]","[2005.0, 2015.0]",0,"wiki_dan-flavin","googleart_t219d95kf0c",
27,100,"[gerard ter borch, gerard terborch]","[1617, 1681]","[gerard ter borch (ii), gesina ter borch, gesina ter borch]","[1633, 1690]",0,"wiki_gerard-terborch","googleart_m0hgrhp4",
28,100,"[horace vernet, émile jean-horace vernet]","[1789, 1863]","[hippolyte lecomte, horace vernet and hippolyte lecomte]","[1781, 1857]",0,"wiki_horace-vernet","googleart_m02rfhww",
29,100,"[jean francois millet, jean-francois millet, jean-françois millet]","[1814, 1875]","[karl bodmer, karl bodmer and jean-françois millet]","[1809, 1893]",0,"wiki_jean-francois-millet","googleart_m01b_mr",
30,100,"[nam june paik, 백남준]","[1932, 2006]","[june]","[2016.0, 2016.0]",0,"wiki_nam-june-paik","googleart_t219d95jw5z",
31,100,"[girolamo francesco maria mazzola, parmigianino]","[1503, 1540]","[antonio fantuzzi, antonio fantuzzi, parmigianino]","[1510, 1550]",0,"wiki_parmigianino","googleart_m0gtt12q",
32,100,"[raffaello sanzio da urbino, raphael]","[1483, 1520]","[giovanni jacopo caraglio, raphael sanzio, jacopo caraglio]","[1500, 1565]",0,"wiki_raphael","googleart_m072250",
33,100,"[raffaello sanzio da urbino, raphael]","[1483, 1520]","[giovanni antonio da brescia, giovanni antonio da brescia, raphael sanzio]","[1503, 1509]",0,"wiki_raphael","googleart_m03cv8s9",
34,100,"[robert l. qualters, jr., robert qualters]","[1980.0, 2003.0]","[jr, low bros]","[2005.0, 2015.0]",0,"wiki_robert-qualters","googleart_t219d95kf0c",
35,100,"[robert l. qualters, jr., robert qualters]","[1980.0, 2003.0]","[jr]","[2001.0, 2013.0]",0,"wiki_robert-qualters","googleart_m0dgq66j",
36,100,"[robert oliver swain jr., robert swain]","[1967.0, 1995.0]","[jr, low bros]","[2005.0, 2015.0]",0,"wiki_robert-swain","googleart_t219d95kf0c",
37,100,"[robert oliver swain jr., robert swain]","[1967.0, 1995.0]","[jr]","[2001.0, 2013.0]",0,"wiki_robert-swain","googleart_m0dgq66j",
38,100,"[thomas gainsborough]","[1727, 1788]","[james watson, james watson, thomas gainsborough (sir), j. boydell]","[1739, 1790]",0,"wiki_thomas-gainsborough","googleart_m0vs9ss7",
39,100,"[william morris]","[1834, 1896]","[william morris hunt]","[1824, 1879]",0,"wiki_william-morris","googleart_m04td2w",
40,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[bernardo bellotto, bernardo bellotto called canaletto]","[1721, 1780]",0,"wiki_canaletto","googleart_m04_nhc9",
41,100,"[utagawa toyokuni, 歌川豐國 (toyokuni i) (kurahashi kumakichi)]","[1769, 1825]","[toyokuni utagawa, utagawa toyokuni]","[1769, 1825]","True","wiki_utagawa-toyokuni","googleart_m01rtt8",
42,100,"[toyoshige (豊重), utagawa toyokuni ii]","[1777, 1835]","[toyokuni utagawa, utagawa toyokuni]","[1769, 1825]",0,"wiki_utagawa-toyokuni-ii","googleart_m01rtt8",
43,100,"[james campbell noble]","[1845, 1913]","[james campbell]","[1828, 1893]",0,"wiki_james-campbell-noble","googleart_m02qd7yl",
44,100,"[james campbell]","[1828, 1893]","[james campbell]","[1828, 1893]","True","wiki_james-campbell","googleart_m02qd7yl",
46,100,"[jose maria velasco, josé maría tranquilino francisco de jesús velasco gómez obregón]","[1840, 1912]","[josé maría velasco gómez]","[1840, 1912]","True","wiki_jose-maria-velasco","googleart_m03cpt_z",
47,100,"[omer uluc, ömer uluç]","[1931, 2010]","[barbara kruger, ömer uluҫ]","[1982.0, 1994.0]",0,"wiki_omer-uluc","googleart_m059jlg",
48,100,"[barbara kruger]","[1980.0, 2007.0]","[barbara kruger, ömer uluҫ]","[1982.0, 1994.0]","True","wiki_barbara-kruger","googleart_m059jlg",
49,100,"[billy childish, steven john hamper]","[1996.0, 2011.0]","[billy]","[2014.0, 2014.0]",0,"wiki_billy-childish","googleart_t218rckd533",
50,100,"[barrie bates, billy apple]","[1962.0, 2006.0]","[billy]","[2014.0, 2014.0]",0,"wiki_billy-apple","googleart_t218rckd533",
51,96,"[claudio tozzi]","[1944, 2099]","[cláudio tozzi]","[1969.0, 2013.0]",1,"wiki_claudio-tozzi","googleart_g122n616x",
52,95,"[ito shinsui, itō hajime  (伊東 一)]","[1898, 1972]","[shinsui itō]","[1898, 1972]",1,"wiki_ito-shinsui","googleart_m07f4lv",
53,91,"[julian alden weir]","[1852, 1919]","[j. alden weir]","[1852, 1919]",1,"wiki_julian-alden-weir","googleart_m02nl2l",
54,100,"[andrea del castagno, andrea di bartolo di bargilla]","[1421, 1457]","[andrea di bartolo]","[1389, 1428]",0,"wiki_andrea-del-castagno","googleart_m0czdrnx",
55,100,"[artemisia gentileschi]","[1593, 1656]","[artemisia gentileschi]","[1593, 1653]","True","wiki_artemisia-gentileschi","googleart_m03bgcm",
56,100,"[banksy]","[1974, 2099]","[banksy]","[1981, 2099]",1,"wiki_banksy","googleart_m023b7b",
57,100,"[bartolomeo veneto]","[1480, 1530]","[bartolomeo veneto]","[1480, 1530]",1,"wiki_bartolomeo-veneto","googleart_m05zj8z3",
58,100,"[sam gilliam]","[1933, 2099]","[sam]","[1958, 2099]",0,"wiki_sam-gilliam","googleart_t218rckhfc8","(1953, 3784)"
59,100,"[chu teh chun, chu teh-chun, 朱德群]","[1920, 2099]","[chu]","[2012.0, 2013.0]",0,"wiki_chu-teh-chun","googleart_t218rckdgwb","(370, 3586)"
60,100,"[bencivieni di pepo (benvenuto di giuseppe) giovanni cimabue, cimabue]","[1251, 1302]","[cimabue]","[1240, 1302]","True","wiki_cimabue","googleart_m0205s","(375, 371)"
61,100,"[clara peeters]","[1594, 1657]","[clara peeters]","[1612.0, 1650.0]",1,"wiki_clara-peeters","googleart_m0266vrh","(376, 432)"
62,100,"[cope2, fernando carlo]","[1968, 2099]","[cope2]","[2008.0, 2015.0]",1,"wiki_cope2","googleart_t218rckdk86","(403, 3589)"
63,100,"[enzo cucchi]","[1949, 2099]","[enzo]","[2010.0, 2011.0]",0,"wiki_enzo-cucchi","googleart_t218rckf0_h",
