,"score","names_wiki+googleart+wga","dates_wiki+googleart+wga","names_meisterwerke","dates_meisterwerke","is_same","artist_id_wiki+googleart+wga","artist_id_meisterwerke","idx","total_works_count","year_diff"
1222,100,"[pot, hendrick gerritsz, hendrik gerritsz pot]","[1580, 1657]","[pot, hendrik gerritsz.]","[1640.0, 1650.0]",1,"wga_pot, hendrick gerritsz, (1580-1657)","meisterwerke_pot, hendrik gerritsz.",,,
1223,100,"[previati, gaetano]","[1852, 1920]","[previati, gaetano]","[1891.0, 1891.0]",1,"wga_previati, gaetano, (1852-1920)","meisterwerke_previati, gaetano",,,
1224,81,"[preyer, johann wilhelm]","[1803, 1889]","[brucke, johann wilhelm]","[1826.0, 1855.0]",0,"wga_preyer, johann wilhelm, (1803-1889)","meisterwerke_brucke, johann wilhelm",,,
1225,100,"[pynas, jan symonsz.]","[1581, 1631]","[pynas, jan]","[1610.0, 1610.0]",1,"wga_pynas, jan symonsz., (1581-1631)","meisterwerke_pynas, jan",,,
1226,100,"[querfurt, august]","[1696, 1761]","[querfurt, august]","[1760.0, 1760.0]",1,"wga_querfurt, august, (1696-1761)","meisterwerke_querfurt, august",,,
1227,100,"[quillard, pierre-antoine]","[1700, 1733]","[quillard, pierre-antoine]","[1730.0, 1730.0]",1,"wga_quillard, pierre-antoine, (1700-1733)","meisterwerke_quillard, pierre-antoine",,,
1228,100,"[ratgeb, jörg, jerg ratgeb]","[1480, 1526]","[ratgeb, jerg]","[1519.0, 1519.0]",1,"wga_ratgeb, jörg, (1480-1526)","meisterwerke_ratgeb, jerg",,,
1229,100,"[ravesteyn, hubert van]","[1638, 1691]","[ravesteyn, hubert van]","[1664.0, 1664.0]",1,"wga_ravesteyn, hubert van, (1638-1691)","meisterwerke_ravesteyn, hubert van",,,
1230,82,"[rayski, ferdinand von, ferdinand von rayski]","[1806, 1890]","[arnim, ferdinand von]","[1845.0, 1851.0]",0,"wga_rayski, ferdinand von, (1806-1890)","meisterwerke_arnim, ferdinand von",,,
1231,100,"[rebell, joseph]","[1787, 1828]","[rebell, joseph]","[1815.0, 1815.0]",1,"wga_rebell, joseph, (1787-1828)","meisterwerke_rebell, joseph",,,
1232,100,"[regnault, henri]","[1843, 1871]","[regnault, henri]","[1870.0, 1870.0]",1,"wga_regnault, henri, (1843-1871)","meisterwerke_regnault, henri",,,
1233,100,"[reichlich, marx]","[1460, 1520]","[reichlich, marx]","[1502.0, 1506.0]",1,"wga_reichlich, marx, (1460-1520)","meisterwerke_reichlich, marx",,,
1234,80,"[reinhart, johann christian]","[1761, 1847]","[klengel, johann christian]","[1816.0, 1816.0]",0,"wga_reinhart, johann christian, (1761-1847)","meisterwerke_klengel, johann christian",,,
1235,100,"[reinhart, johann christian]","[1761, 1847]","[reinhart, johann christian]","[1813.0, 1813.0]",1,"wga_reinhart, johann christian, (1761-1847)","meisterwerke_reinhart, johann christian",,,
1236,100,"[reinhold, heinrich]","[1788, 1825]","[reinhold, heinrich]","[1824.0, 1824.0]",1,"wga_reinhold, heinrich, (1788-1825)","meisterwerke_reinhold, heinrich",,,
1237,100,"[rethel, alfred]","[1816, 1859]","[rethel, alfred]","[1834.0, 1837.0]",1,"wga_rethel, alfred, (1816-1859)","meisterwerke_rethel, alfred",,,
