,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wiki+googleart+wga+meisterwerke+moma","artist_id_artuk","Unnamed: 9","Unnamed: 10","Unnamed: 11"
1694,100,"[pordenone, pordenone, giovanni antonio de lodesanis, il pordenone]","[1484, 1539]","[pordenone, giovanni antonio]","[1483, 1539]",1,"wga_pordenone, (1484-1539)","artuk_pordenone, giovanni antonio, (1483-1539)","(3890, 16248)",26,
1695,100,"[pugh, herbert]","[1758, 1788]","[pugh, herbert]","[1770.0, 1788]",1,"wga_pugh, herbert, (1758-1788)","artuk_pugh, herbert, (d.1788)","(7854, 16496)",5,
1696,100,"[pynas, jacob symonsz.]","[1592, 1650]","[pynas, jacob symonsz.]","[1590, 1648]",1,"wga_pynas, jacob symonsz., (1592-1650)","artuk_pynas, jacob symonsz., (1590-1648)","(7856, 16535)",8,
1697,100,"[pynas, jan symonsz., pynas, jan]","[1581, 1631]","[pynas, jan symonsz.]","[1583, 1631]",1,"wga_pynas, jan symonsz., (1581-1631)","artuk_pynas, jan symonsz., (1583-1631)","(7857, 16536)",4,
1698,100,"[reschi, pandolfo]","[1640, 1696]","[reschi, pandolfo]","[1643, 1696]",1,"wga_reschi, pandolfo, (1640-1696)","artuk_reschi, pandolfo, (1643-1696)","(7909, 16901)",5,
1699,100,"[richter, franz ferdinand]","[1693, 1737]","[richter, franz ferdinand]","[1693, 1738]",1,"wga_richter, franz ferdinand, (1693-1737)","artuk_richter, franz ferdinand, (1693-1738)","(7919, 17012)",2,
1700,100,"[riesener, henri-françois]","[1767, 1828]","[riesener, henri françois]","[1767, 1805]",1,"wga_riesener, henri-françois, (1767-1828)","artuk_riesener, henri françois, (1767-1805)","(7924, 17034)",5,
1701,100,"[riminaldi, orazio]","[1593, 1630]","[riminaldi, orazio]","[1586, 1630]",1,"wga_riminaldi, orazio, (1593-1630)","artuk_riminaldi, orazio, (1586-1630)","(7927, 17060)",3,
1702,100,"[roberti, ercole de', ercole da ferrara, grandi, ercole, ercole de' roberti, roberti, ercole de, grandi, ercole di giulio cesare de', roberti, ercole, roberti, ercole d'antonio de']","[1450, 1496]","[de' roberti, ercole]","[1455, 1496]",1,"wga_roberti, ercole de', (1456-1496)","artuk_de' roberti, ercole, (1455-1496)","(2786, 5466)",37,
1703,100,"[rocca, michele]","[1666, 1751]","[rocca, michele]","[1675, 1751]",1,"wga_rocca, michele, (1666-1751)","artuk_rocca, michele, (1675-1751)","(7942, 17272)",9,
