,score,names_wiki+googleart+wga+meisterwerke+moma+artuk,dates_wiki+googleart+wga+meisterwerke+moma+artuk,names_rijks,dates_rijks,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma+artuk,artist_id_rijks,idx,total_works_count,year_diff
162,100,"[carlevarijs, luca, carlevaris, luca, luca carlevarijs, luca da ca' zenobio]","[1663, 1730]","[carlevarijs, luca, luca carlevarijs]","[1601, 1730]",1,"wga_carlevaris, luca, (1663-1730)",rijks_rjgd-luca-carlevarijs,"(2569, 3625)",89,"[62, 0]"
694,100,"[cars, laurent]","[1699, 1771]","[cars, laurent, laurent cars]","[1605, 1771]",1,"wga_cars, laurent, (1699-1771)",rijks_rjgd-laurent-cars,"(6018, 3518)",7,"[94, 0]"
695,100,"[casa, nicolò della]","[1543, 1548]","[casa, nicolò della, nicolò della casa]","[1548.0, 1548.0]",1,"wga_casa, nicolò della, (1543-1548)",rijks_rjgd-nicolò-della-casa,"(6020, 4141)",2,"[5.0, 0.0]"
476,100,"[valerio castello, castello, valerio]","[1624, 1659]","[castello, valerio, valerio castello]","[1625, 1659]",1,"wga_castello, valerio, (1624-1659)",rijks_rjgd-valerio-castello,"(3786, 4919)",17,"[1, 0]"
435,100,"[castiglione, giovanni benedetto, giovanni benedetto castiglione]","[1609, 1664]","[castiglione, giovanni benedetto, giovanni benedetto castiglione]","[1610, 1665]",1,"wga_castiglione, giovanni benedetto, (1609-1664)",rijks_rjgd-giovanni-benedetto-castiglione,"(3698, 1765)",182,"[1, 1]"
696,100,"[cats, jacob]","[1741, 1799]","[cats, jacob (1741-1799), jacob cats (1741-1799)]","[1706, 1799]",1,"wga_cats, jacob, (1741-1799)",rijks_rjgd-jacob-cats-(1741-1799),"(6037, 2356)",68,"[35, 0]"
697,100,"[de caullery, louis, caullery, louis de]","[1580, 1621]","[caullery, louis de, louis de caullery]","[1579, 1621]",1,"wga_caullery, louis de, (1580-1621)",rijks_rjgd-louis-de-caullery,"(6038, 3584)",14,"[1, 0]"
322,100,"[giacomo cavedone, cavedone, giacomo]","[1577, 1660]","[cavedone, giacomo, giacomo cavedone]","[1504, 1660]",1,"wga_cavedone, giacomo, (1577-1660)",rijks_rjgd-giacomo-cavedone,"(3152, 1687)",30,"[73, 0]"
698,100,"[ceresa, carlo]","[1609, 1670]","[carlo ceresa, ceresa, carlo]","[1601, 1679]",1,"wga_ceresa, carlo, (1609-1670)",rijks_rjgd-carlo-ceresa,"(6052, 661)",6,"[8, 9]"
699,100,"[champaigne, jean-baptiste de]","[1631, 1681]","[champaigne, jean-baptiste de, jean-baptiste de champaigne]","[1612, 1681]",1,"wga_champaigne, jean-baptiste de, (1631-1681)",rijks_rjgd-jean-baptiste-de-champaigne,"(6059, 2897)",2,"[19, 0]"
700,100,"[chauveau, françois]","[1613, 1676]","[chauveau, françois, françois chauveau]","[1605, 1676]",1,"wga_chauveau, françois, (1613-1676)",rijks_rjgd-françois-chauveau,"(6066, 1440)",3,"[8, 0]"
701,100,"[claeuw, jacques de]","[1623, 1694]","[claeuw, jacques de, jacques de claeuw]","[1605, 1694]",1,"wga_claeuw, jacques de, (1623-1694)",rijks_rjgd-jacques-de-claeuw,"(6091, 2542)",2,"[18, 0]"
702,100,"[clérisseau, charles louis]","[1721, 1820]","[charles louis clérisseau, clérisseau, charles louis]","[1708, 1820]",1,"wga_clérisseau, charles louis, (1721-1820)",rijks_rjgd-charles-louis-clérisseau,"(6101, 714)",9,"[13, 0]"
703,94,"[coelemans, jacobus]","[1654, 1732]","[coelemans, jacob, jacob coelemans]","[1654, 1731.0]",1,"wga_coelemans, jacobus, (1654-1732)",rijks_rjgd-jacob-coelemans,"(6105, 2357)",9,"[0, 1.0]"
