,score,names_wiki+googleart+wga+meisterwerke+moma+artuk,dates_wiki+googleart+wga+meisterwerke+moma+artuk,names_rijks,dates_rijks,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma+artuk,artist_id_rijks,idx,total_works_count,year_diff
615,100,"[allori, alessandro, alessandro allori, allori, allessandro]","[1535, 1607]","[alessandro allori, allori, alessandro]","[1535, 1609]",1,"artuk_allori, alessandro, (1535-1607)",rijks_rjgd-alessandro-allori,"(4452, 215)",52,"[0, 2]"
187,100,"[cristofano allori, allori, cristofano]","[1577, 1621]","[allori, cristofano, cristofano allori]","[1510, 1621]",1,"artuk_allori, cristofano, (1577-1621)",rijks_rjgd-cristofano-allori,"(2670, 980)",21,"[67, 0]"
513,100,"[apollonio di giovanni di tommaso, apollonio di giovanni]","[1414, 1465]",[apollonio di giovanni],"[1450.0, 1450.0]",1,"artuk_apollonio di giovanni di tommaso, (1415-1465)",rijks_rjgd-apollonio-di-giovanni,"(4017, 409)",12,"[36.0, 15.0]"
295,100,"[barocci, federigo, fiori da urbino, barocci, federico fiori, baroccio, federigo, barocci, federico, federico barocci, fiori, federico, barocio, federico, il fiori da urbino, il fiori]","[1535, 1612]","[barocci, federico, federico barocci]","[1528, 1612]",1,"artuk_barocci, federico, (1535-1612)",rijks_rjgd-federico-barocci,"(3071, 1307)",151,"[7, 0]"
41,100,"[giovanni bellini, bellini, giovanni]","[1426, 1516]","[bellini, giovanni, giovanni bellini]","[1430, 1516]",1,"artuk_bellini, giovanni, (1431-1516)",rijks_rjgd-giovanni-bellini,"(800, 1764)",352,"[4, 0]"
16,100,"[bellotto, bernardo, bernardo bellotto, canaletto (ii), bernardo francesco paolo ernesto bellotto]","[1720, 1780]","[bellotto, bernardo, bernardo bellotto]","[1721, 1780]",1,"artuk_bellotto, bernardo, (1722-1780)",rijks_rjgd-bernardo-bellotto,"(263, 577)",319,"[1, 0]"
280,100,"[abraham bloemaert, bloemaert, abraham]","[1564, 1651]","[abraham bloemaert, bloemaert, abraham]","[1512, 1651]",1,"artuk_bloemaert, abraham, (1566-1651)",rijks_rjgd-abraham-bloemaert,"(3042, 39)",204,"[52, 0]"
355,100,"[boilly, louis léopold, boilly, louis-léopold, louis-léopold boilly]","[1761, 1845]","[boilly, louis-léopold, louis-léopold boilly]","[1707, 1845]",1,"artuk_boilly, louis-léopold, (1761-1845)",rijks_rjgd-louis-léopold-boilly,"(3326, 3603)",58,"[54, 0]"
429,100,"[bol, ferdinand, ferdinand bol]","[1616, 1680]","[bol, ferdinand, ferdinand bol]","[1606, 1680]",1,"artuk_bol, ferdinand, (1616-1680)",rijks_rjgd-ferdinand-bol,"(3674, 1314)",181,"[10, 0]"
1019,94,"[borsseler, pieter]","[1664.0, 1700.0]","[borselaer, pieter, pieter borselaer]","[1664.0, 1683.0]",1,"artuk_borsseler, pieter, (active 1664-1687)",rijks_rjgd-pieter-borselaer,"(12485, 4385)",15,"[0.0, 17.0]"
671,100,"[botticini, francesco]","[1446, 1497]","[botticini, francesco, francesco botticini]","[1470.0, 1470.0]",1,"artuk_botticini, francesco, (1446-1497)",rijks_rjgd-francesco-botticini,"(5873, 1334)",13,"[24.0, 27.0]"
571,100,"[camphuysen, govert dircksz., govert dircksz camphuysen]","[1623, 1672]","[camphuysen, govert dircksz., govert dircksz. camphuysen]","[1624, 1672]",1,"artuk_camphuysen, govert dircksz., (1623-1672)",rijks_rjgd-govert-dircksz.-camphuysen,"(4255, 1856)",16,"[1, 0]"
1071,89,"[annibale carracci, carracci, annibale]","[1560, 1609]","[a. carracci, carracci, a.]","[1567.0, 1570.0]",0,"artuk_carracci, annibale, (1560-1609)",rijks_rjgd-a.-carracci,"(5, 157)",339,"[7.0, 39.0]"
10,100,"[annibale carracci, carracci, annibale]","[1560, 1609]","[annibale carracci, carracci, annibale]","[1511, 1609]",1,"artuk_carracci, annibale, (1560-1609)",rijks_rjgd-annibale-carracci,"(157, 309)",352,"[49, 0]"
317,100,"[cavaliere d'arpino, cesari, giuseppe, giuseppe cesari]","[1568, 1640]","[cesari, giuseppe, giuseppe cesari]","[1502, 1640]",1,"artuk_cesari, giuseppe, (1568-1640)",rijks_rjgd-giuseppe-cesari,"(3124, 1827)",57,"[66, 0]"
376,100,"[carlo cignani, cignani, carlo]","[1628, 1719]","[carlo cignani, cignani, carlo]","[1605, 1719]",1,"artuk_cignani, carlo, (1628-1719)",rijks_rjgd-carlo-cignani,"(3429, 663)",20,"[23, 0]"
21,100,"[cima da conegliano, giovanni battista, giovanni battista cima, cima da conegliano]","[1459, 1518]","[cima da conegliano, giovanni battista, giovanni battista cima da conegliano]","[1512.0, 1512.0]",1,"artuk_cima da conegliano, giovanni battista, (1459-1517)",rijks_rjgd-giovanni-battista-cima-da-conegliano,"(383, 1740)",95,"[53.0, 6.0]"
1458,89,"[cima da conegliano, giovanni battista, giovanni battista cima, cima da conegliano]","[1459, 1518]","[cungi, giovanni battista, giovanni battista cungi]","[1500.0, 1500.0]",0,"artuk_cima da conegliano, giovanni battista, (1459-1517)",rijks_rjgd-giovanni-battista-cungi,"(1744, 383)",95,"[41.0, 18.0]"
1020,100,"[colonia, adam]","[1634, 1685]","[adam colonia, colonia, adam]","[1608, 1685]",1,"artuk_colonia, adam, (1634-1685)",rijks_rjgd-adam-colonia,"(12987, 100)",7,"[26, 0]"
1021,100,"[cooper, samuel]","[1609, 1672]","[cooper, samuel, samuel cooper]","[1608, 1672]",1,"artuk_cooper, samuel, (1609-1672)",rijks_rjgd-samuel-cooper,"(13032, 4702)",20,"[1, 0]"
1023,100,"[corneille de lyon, claude]","[1510, 1574]",[corneille de lyon],"[1520.0, 1575]",1,"artuk_corneille de lyon, claude, (1510-1574)",rijks_rjgd-corneille-de-lyon,"(13055, 845)",21,"[10.0, 1]"
1022,100,"[corneille de lyon, claude]","[1510, 1574]","[claude corneille, corneille, claude]","[1533.0, 1533.0]",1,"artuk_corneille de lyon, claude, (1510-1574)",rijks_rjgd-claude-corneille,"(13055, 806)",20,"[23.0, 41.0]"
711,100,"[courtois, jacques, le bourguignon]","[1621, 1676]","[courtois le bourguignon, jacques, jacques courtois le bourguignon]","[1621, 1675]",1,"artuk_courtois, jacques, (1621-1676)",rijks_rjgd-jacques-courtois-le-bourguignon,"(6155, 2539)",33,"[0, 1]"
710,100,"[courtois, jacques, le bourguignon]","[1621, 1676]","[courtois, jacques, jacques courtois]","[1602, 1676]",0,"artuk_courtois, jacques, (1621-1676)",rijks_rjgd-jacques-courtois,"(6155, 2538)",35,"[19, 0]"
3,100,"[aelbert jacobsz cuyp, cuyp, aelbert, aelbert cuyp]","[1620, 1691]","[aelbert cuyp, cuyp, aelbert]","[1610, 1691]",1,"artuk_cuyp, aelbert, (1620-1691)",rijks_rjgd-aelbert-cuyp,"(25, 170)",275,"[10, 0]"
274,100,"[heem, jan davidsz. de, heem, jan davidsz de, jan davidsz. de heem, de heem, jan davidsz.]","[1606, 1684]","[heem, jan davidsz. de, jan davidsz. de heem]","[1604, 1684]",1,"artuk_de heem, jan davidsz., (1606-1684)",rijks_rjgd-jan-davidsz.-de-heem,"(3031, 2640)",92,"[2, 0]"
1024,100,"[hooch, charles cornelisz. de, hooch, carel de, hooghe, charles cornelisz. de, hoogh, karel, de hooch, carel cornelisz., hoogh, charles cornelisz. de, hoogh, charles d', hooch, charles de]","[1628, 1638]","[charles cornelisz. de hooch, hooch, charles cornelisz. de]","[1606, 1638]",1,"artuk_de hooch, carel cornelisz., (1600-1638)",rijks_rjgd-charles-cornelisz.-de-hooch,"(13259, 699)",13,"[22, 0]"
384,100,"[thomas de keyser, de keyser, thomas, keyser, thomas de]","[1596, 1667]","[keyser, thomas de, thomas de keyser]","[1597, 1667]",1,"artuk_de keyser, thomas, (1596-1667)",rijks_rjgd-thomas-de-keyser,"(3463, 4845)",44,"[1, 0]"
312,100,"[largilliere, nicolas de, de largillière, nicolas, largillière, nicolas de, nicolas de largillière]","[1656, 1746]","[largillière, nicolas de, nicolas de largillière]","[1610, 1746]",1,"artuk_de largillière, nicolas, (1656-1746)",rijks_rjgd-nicolas-de-largillière,"(3107, 4112)",63,"[46, 0]"
1025,93,"[de vos, maarten]","[1532, 1603]","[maerten de vos, vos, maerten de]","[1532, 1612]",1,"artuk_de vos, maarten, (1532-1603)",rijks_rjgd-maerten-de-vos,"(13282, 3679)",25,"[0, 9]"
722,100,"[decker, cornelis gerritsz., decker, cornelis gerritsz]","[1618, 1678]","[cornelis gerritsz decker, decker, cornelis gerritsz]","[1620, 1678]",1,"artuk_decker, cornelis gerritsz., (1623-1678)",rijks_rjgd-cornelis-gerritsz-decker,"(6218, 902)",18,"[2, 0]"
1026,98,"[dubbels, hendrik jacobsz.]","[1621, 1707]","[dubbels, hendrick jacobsz., hendrick jacobsz. dubbels]","[1605, 1710]",1,"artuk_dubbels, hendrik jacobsz., (1621-1707)",rijks_rjgd-hendrick-jacobsz.-dubbels,"(13403, 1992)",17,"[16, 3]"
1027,100,"[dubois, simon]","[1632, 1708]","[dubois, simon, simon dubois]","[1607, 1708]",1,"artuk_dubois, simon, (1632-1708)",rijks_rjgd-simon-dubois,"(13404, 4749)",14,"[25, 0]"
339,100,"[gaspard poussin, dughet, gaspard, gaspard dughet]","[1615, 1675]","[dughet, gaspard, gaspard dughet]","[1606, 1675]",1,"artuk_dughet, gaspard, (1615-1675)",rijks_rjgd-gaspard-dughet,"(3239, 1547)",123,"[9, 0]"
737,100,"[dusart, cornelis]","[1660, 1704]","[cornelis dusart, dusart, cornelis]","[1604, 1710]",1,"artuk_dusart, cornelis, (1660-1704)",rijks_rjgd-cornelis-dusart,"(6302, 891)",106,"[56, 6]"
5,100,"[albrecht durer, albrecht dürer, dürer, albrecht]","[1471, 1528]","[albrecht dürer, dürer, albrecht]","[1405, 1528]",1,"artuk_dürer, albrecht, (1471-1528)",rijks_rjgd-albrecht-dürer,"(64, 212)",2549,"[66, 0]"
432,100,"[elsheimer, adam, adam elsheimer]","[1578, 1610]","[adam elsheimer, elsheimer, adam]","[1503, 1612]",1,"artuk_elsheimer, adam, (1578-1610)",rijks_rjgd-adam-elsheimer,"(3679, 101)",79,"[75, 2]"
374,100,"[gaudenzio ferrari, ferrari, gaudenzio]","[1470, 1546]","[ferrari, gaudenzio, gaudenzio ferrari]","[1480, 1546]",1,"artuk_ferrari, gaudenzio, (1470-1546)",rijks_rjgd-gaudenzio-ferrari,"(3425, 1551)",43,"[10, 0]"
363,96,"[fetti, domenico, domenico fetti]","[1588, 1624]","[domenico feti, feti, domenico]","[1589, 1624]",1,"artuk_fetti, domenico, (1589-1624)",rijks_rjgd-domenico-feti,"(3369, 1164)",44,"[1, 0]"
1028,100,"[fielding, anthony v. c., fielding, copley, copley-fielding, anthony vandye, fielding, c., fielding, anthony vandyck copley, copley-fielding, a. v., fielding, anthony copley vandyke, fielding, anthony vandyke copley]","[1787, 1855]","[anthony vandyke copley fielding, fielding, anthony vandyke copley]","[1711, 1855]",1,"artuk_fielding, anthony v. c., (1787-1855)",rijks_rjgd-anthony-vandyke-copley-fielding,"(13604, 339)",27,"[76, 0]"
1029,89,"[fielding, frederick felix ferdinand raffael, fielding, raffael, fielding, f. f.]","[1784, 1853]","[anthony vandyke copley fielding, fielding, anthony vandyke copley]","[1711, 1855]",0,"artuk_fielding, frederick felix ferdinand raffael, (1784-1853)",rijks_rjgd-anthony-vandyke-copley-fielding,"(13606, 339)",3,"[73, 2]"
1030,100,[fra bartolommeo],"[1472, 1517]",[bartolommeo (fra)],"[1403, 1517]",1,"artuk_fra bartolommeo, (1472-1517)",rijks_rjgd-bartolommeo-(fra),"(13703, 530)",11,"[69, 0]"
1031,100,[franco/flemish school],"[1519.0, 1780.0]",[franco],"[1597.0, 1597.0]",0,artuk_franco/flemish school,rijks_rjgd-franco,"(13709, 1382)",16,"[78.0, 183.0]"
1032,100,"[gerbier d'ouvilly, balthasar, gerbier d'ouvilly, balthazar, ouvilly, balthasar gerbier d', gherbier, baldassarre, gerbier, balthasar, gerbier, balthazar]","[1592, 1663]","[balthasar gerbier, gerbier, balthasar]","[1593, 1667]",1,"artuk_gerbier d'ouvilly, balthazar, (1592-1663)",rijks_rjgd-balthasar-gerbier,"(13835, 479)",3,"[1, 4]"
1033,100,"[glauber, johannes]","[1646, 1727]","[glauber, johannes, johannes glauber]","[1646, 1726]",1,"artuk_glauber, johannes, (1646-1727)",rijks_rjgd-johannes-glauber,"(13896, 3190)",103,"[0, 1]"
1034,100,"[glauber, johannes]","[1646, 1727]","[glauber, johannes gottlieb, johannes gottlieb glauber]","[1656, 1703]",0,"artuk_glauber, johannes, (1646-1727)",rijks_rjgd-johannes-gottlieb-glauber,"(13896, 3192)",12,"[10, 24]"
1035,100,"[goodman, l. (mistress), salaman, julia, salaman, goodman, julia]","[1812, 1906]",[goodman],"[1856.0, 1856.0]",0,"artuk_goodman, julia, (1812-1906)",rijks_rjgd-goodman,"(13922, 1845)",4,"[44.0, 50.0]"
173,100,"[francesco granacci, granacci, francesco]","[1469, 1543]","[francesco granacci, granacci, francesco]","[1407, 1543]",1,"artuk_granacci, francesco, (1469-1543)",rijks_rjgd-francesco-granacci,"(2607, 1345)",18,"[62, 0]"
29,100,"[francesco lazzaro guardi, francesco guardi, guardi, francesco]","[1712, 1793]","[francesco guardi, guardi, francesco]","[1710, 1792]",1,"artuk_guardi, francesco,  & guardi, giacomo, (1712-1793)",rijks_rjgd-francesco-guardi,"(644, 1346)",414,"[2, 1]"
386,100,"[guardi, giacomo, giacomo guardi]","[1764, 1835]","[giacomo guardi, guardi, giacomo]","[1704, 1835]",1,"artuk_guardi, giacomo, (1764-1835)",rijks_rjgd-giacomo-guardi,"(3472, 1689)",15,"[60, 0]"
44,100,"[giovanni francesco barbieri, guercino, guercino, giovanni francesco]","[1591, 1666]",[guercino],"[1502, 1666]",1,"artuk_guercino, (1591-1666)",rijks_rjgd-guercino,"(840, 1864)",274,"[89, 0]"
1036,100,"[haccou, johannes cornelis, accou, haccou, jan cornelis, haccou, j. c.]","[1798, 1839]","[haccou, johannes cornelis, johannes cornelis haccou]","[1704, 1839]",1,"artuk_haccou, jan cornelis, (1798-1839)",rijks_rjgd-johannes-cornelis-haccou,"(14061, 3169)",2,"[94, 0]"
224,100,"[dirck hals, hals, dirck]","[1591, 1656]","[dirck hals, hals, dirck]","[1503, 1656]",1,"artuk_hals, dirck, (1591-1656)",rijks_rjgd-dirck-hals,"(2838, 1117)",43,"[88, 0]"
247,100,"[adriaen hanneman, hanneman, adriaen]","[1601, 1671]","[adriaen hanneman, hanneman, adriaen]","[1604, 1671]",1,"artuk_hanneman, adriaen, (1601-1671)",rijks_rjgd-adriaen-hanneman,"(2963, 134)",49,"[3, 0]"
774,100,"[heeremans, thomas]","[1640, 1697]","[heeremans, thomas, thomas heeremans]","[1641, 1702]",1,"artuk_heeremans, thomas, (1640-1697)",rijks_rjgd-thomas-heeremans,"(6645, 4852)",15,"[1, 5]"
281,100,"[hobbema, meyndert, hobbema, meindert, meindert hobbema]","[1638, 1709]","[hobbema, meindert, meindert hobbema]","[1610, 1712]",1,"artuk_hobbema, meindert, (1638-1709)",rijks_rjgd-meindert-hobbema,"(3043, 3836)",86,"[28, 3]"
528,100,"[huet, jean-baptiste-marie i, huet i, jean-baptiste, jean-baptiste huet]","[1745, 1811]","[huet, jean baptiste (le vieux), jean baptiste huet (le vieux)]","[1710, 1811]",1,"artuk_huet i, jean-baptiste, (1745-1811)",rijks_rjgd-jean-baptiste-huet-(le-vieux),"(4091, 2905)",32,"[35, 0]"
373,100,"[jozef israëls, israëls, jozef, israels, josef]","[1824, 1911]","[israëls, jozef, jozef israëls]","[1801, 1911]",1,"artuk_israëls, jozef, (1824-1911)",rijks_rjgd-jozef-israëls,"(3418, 3367)",120,"[23, 0]"
453,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[beek, j. van der, j. van der beek]","[1850.0, 1850.0]",0,"artuk_j., j.",rijks_rjgd-j.-van-der-beek,"(3746, 2305)",9,"[38.0, 29.0]"
454,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[j.f. schmetterling, schmetterling, j.f.]","[1825.0, 1825.0]",0,"artuk_j., j.",rijks_rjgd-j.f.-schmetterling,"(3746, 2328)",9,"[13.0, 54.0]"
455,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[hermanus j. slothouwer, slothouwer, hermanus j.]","[1809, 1882]",0,"artuk_j., j.",rijks_rjgd-hermanus-j.-slothouwer,"(3746, 2151)",8,"[3, 3]"
456,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[j. laurent, laurent, j.]","[1816, 1886]",0,"artuk_j., j.",rijks_rjgd-j.-laurent,"(3746, 2290)",9,"[4, 7]"
457,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[j. kuyper, kuyper, j.]","[1860.0, 1864.0]",0,"artuk_j., j.",rijks_rjgd-j.-kuyper,"(3746, 2289)",24,"[48.0, 15.0]"
451,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[l.j. lefèbre, lefèbre, l.j.]","[1838.0, 1838.0]",0,"artuk_j., j.",rijks_rjgd-l.j.-lefèbre,"(3746, 3489)",8,"[26.0, 41.0]"
450,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[clermans, j.b., j.b. clermans]","[1826.0, 1826.0]",0,"artuk_j., j.",rijks_rjgd-j.b.-clermans,"(3746, 2318)",8,"[14.0, 53.0]"
458,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[haagen, j., j. haagen]","[1815.0, 1815.0]",0,"artuk_j., j.",rijks_rjgd-j.-haagen,"(3746, 2285)",8,"[3.0, 64.0]"
459,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[neumans, p.j., p.j. neumans]","[1840.0, 1841.0]",0,"artuk_j., j.",rijks_rjgd-p.j.-neumans,"(3746, 4196)",9,"[28.0, 38.0]"
460,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[graef, j. de, j. de graef]","[1838.0, 1838.0]",0,"artuk_j., j.",rijks_rjgd-j.-de-graef,"(3746, 2277)",8,"[26.0, 41.0]"
1562,99,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[boelen, j., j. boelen]","[1815, 1890]",0,"artuk_j., j.",rijks_rjgd-j.-boelen,"(2273, 3746)",8,"[3, 11]"
452,100,"[hill, j. w., burbanck, j. m., burbank, j. m., burbank, j. m. (junior), john william hill, hill, john william, j., j.]","[1812, 1879]","[j.a. visser, visser, j.a.]","[1840.0, 1840.0]",0,"artuk_j., j.",rijks_rjgd-j.a.-visser,"(3746, 2315)",8,"[28.0, 39.0]"
1038,100,"[janson, johannes]","[1729, 1784]","[janson, johannes, johannes janson]","[1704, 1784]",1,"artuk_janson, johannes, (1729-1784)",rijks_rjgd-johannes-janson,"(14638, 3211)",204,"[25, 0]"
1037,100,"[janson, johannes]","[1729, 1784]","[janson, johannes christiaan, johannes christiaan janson]","[1703, 1823]",0,"artuk_janson, johannes, (1729-1784)",rijks_rjgd-johannes-christiaan-janson,"(14638, 3164)",75,"[26, 39]"
1043,100,"[saunders, john arnold, sanders, j. a., sanders, john a., john, sanders, john arnold]","[1801, 1811]","[dunkarton, robert john, robert john dunkarton]","[1744, 1817]",0,artuk_john,rijks_rjgd-robert-john-dunkarton,"(14663, 4636)",7,"[57, 6]"
1041,100,"[saunders, john arnold, sanders, j. a., sanders, john a., john, sanders, john arnold]","[1801, 1811]","[hunter, john, john hunter]","[1708, 1821]",0,artuk_john,rijks_rjgd-john-hunter,"(14663, 3290)",7,"[93, 10]"
1042,100,"[saunders, john arnold, sanders, j. a., sanders, john a., john, sanders, john arnold]","[1801, 1811]","[cawse, john, john cawse]","[1779, 1862]",0,artuk_john,rijks_rjgd-john-cawse,"(14663, 3281)",7,"[22, 51]"
1039,100,"[saunders, john arnold, sanders, j. a., sanders, john a., john, sanders, john arnold]","[1801, 1811]","[john raphael smith, smith, john raphael]","[1752, 1812]",0,artuk_john,rijks_rjgd-john-raphael-smith,"(14663, 3294)",7,"[49, 1]"
1040,100,"[saunders, john arnold, sanders, j. a., sanders, john a., john, sanders, john arnold]","[1801, 1811]","[john linnell (ii), linnell, john (ii)]","[1792, 1882]",0,artuk_john,rijks_rjgd-john-linnell-(ii),"(14663, 3291)",9,"[9, 71]"
1044,100,"[johns, a. b., johns, ambrose bowden]","[1776, 1858]",[johns],"[1790.0, 1790.0]",0,"artuk_johns, ambrose bowden, (1776-1858)",rijks_rjgd-johns,"(14664, 3301)",13,"[14.0, 68.0]"
794,100,"[key, willem]","[1515, 1568]","[key, willem, willem key]","[1520, 1568]",1,"artuk_key, willem, (1520-1568)",rijks_rjgd-willem-key,"(6775, 5034)",14,"[5, 0]"
998,100,"[laroon d. j., marcellus, laroon ii, marcellus]","[1679, 1774]","[laroon, marcellus (ii), marcellus laroon (ii)]","[1604, 1774]",1,"artuk_laroon ii, marcellus, (1679-1772)",rijks_rjgd-marcellus-laroon-(ii),"(9265, 3691)",11,"[75, 0]"
818,100,"[leys, jean-auguste-henri, leys, hendrik, leys, jean auguste henri, leys, henri, leys, hendrik (baron), leys, henri (baron), leys, h., leys, jan august hendrik (baron), leys, henri jan-august]","[1815, 1869]","[henri leys (baron), leys, henri (baron)]","[1802, 1869]",1,"artuk_leys, hendrik, (1815-1869)",rijks_rjgd-henri-leys-(baron),"(6892, 2104)",11,"[13, 0]"
141,100,"[lorenzo monaco, don, pietro di giovanni, lorenzo monaco]","[1370, 1425]",[lorenzo monaco],"[1371, 1425]",1,"artuk_lorenzo monaco, (1370-1425)",rijks_rjgd-lorenzo-monaco,"(2457, 3570)",105,"[1, 0]"
1045,100,"[lundens, gerrit]","[1622, 1683]","[gerrit lundens, lundens, gerrit]","[1609, 1686]",1,"artuk_lundens, gerrit, (1622-1683)",rijks_rjgd-gerrit-lundens,"(15098, 1661)",10,"[13, 3]"
1046,89,"[maes, dirk]","[1659, 1717]","[dirk maas, maas, dirk]","[1609, 1717]",1,"artuk_maes, dirk, (1659-1717)",rijks_rjgd-dirk-maas,"(15193, 1141)",58,"[50, 0]"
1047,100,"[malleyn, gerrit]","[1753, 1816]","[gerrit malleyn, malleyn, gerrit]","[1707, 1816]",1,"artuk_malleyn, gerrit, (1753-1816)",rijks_rjgd-gerrit-malleyn,"(15213, 1662)",7,"[46, 0]"
1048,100,[master of the magdalen legend],"[1483, 1530]",[master of the magdalen legend],"[1505.0, 1505.0]",1,"artuk_master of the magdalen legend, (1483-1530)",rijks_rjgd-master-of-the-magdalen-legend,"(15270, 3751)",9,"[22.0, 25.0]"
14,100,"[mauve, anton, anton mauve, anthonij rudolf mauve]","[1838, 1888]","[anton mauve, mauve, anton]","[1809, 1888]",1,"artuk_mauve, anton, (1838-1888)",rijks_rjgd-anton-mauve,"(164, 366)",166,"[29, 0]"
1049,100,"[mazzolino, lodovico]","[1480, 1530]","[lodovico mazzolino, mazzolino, lodovico]","[1480, 1528]",1,"artuk_mazzolino, lodovico, (1480-1530)",rijks_rjgd-lodovico-mazzolino,"(15289, 3560)",9,"[0, 2]"
1050,100,"[millet the elder, jean-françois]","[1642, 1679]","[françois, jean, jean françois]","[1645.0, 1645.0]",0,"artuk_millet the elder, jean-françois, (1642-1679)",rijks_rjgd-jean-françois,"(15449, 2946)",10,"[3.0, 34.0]"
538,100,"[pier francesco mola, mola, pier francesco]","[1612, 1666]","[mola, pier francesco, pier francesco mola]","[1602, 1666]",1,"artuk_mola, pier francesco, (1612-1666)",rijks_rjgd-pier-francesco-mola,"(4118, 4325)",70,"[10, 0]"
1051,100,"[mollinger, g. a. g. f., mollinger, gerrit alexander godart filip, mollinger, alexander, mollinger, gerrit alexander godart philip, mollinger, gerrit alexander goedart filip]","[1836, 1867]","[alexander mollinger, mollinger, alexander]","[1803, 1867]",1,"artuk_mollinger, gerrit alexander godart filip, (1836-1867)",rijks_rjgd-alexander-mollinger,"(15483, 231)",16,"[33, 0]"
449,100,"[mulier, p., molyn, pieter, pieter de molijn, molijn, pieter de, molyn, pieter de]","[1595, 1661]","[molijn, pieter de, pieter de molijn]","[1504, 1661]",1,"artuk_molyn, pieter, (1595-1661)",rijks_rjgd-pieter-de-molijn,"(3745, 4414)",59,"[91, 0]"
277,100,"[mor, anthonis, mor, antonis, mor van dashorst, anthonis, antonis mor, antonio moro]","[1512, 1576]","[anthonis mor, mor, anthonis]","[1519, 1575]",1,"artuk_mor, antonis, (1512-1576)",rijks_rjgd-anthonis-mor,"(3036, 328)",61,"[7, 1]"
855,93,"[mulier, pieter the elder, mulier the elder, pieter]","[1610, 1670]","[mulier, pieter (i), pieter mulier (i)]","[1615, 1659]",1,"artuk_mulier the elder, pieter, (1615-1670)",rijks_rjgd-pieter-mulier-(i),"(7612, 4471)",14,"[5, 11]"
1052,100,"[müntz, johann heinrich]","[1727, 1798]","[johann heinrich müntz, müntz, johann heinrich]","[1709, 1798]",1,"artuk_müntz, johann heinrich, (1727-1798)",rijks_rjgd-johann-heinrich-müntz,"(15631, 3116)",17,"[18, 0]"
857,100,"[naiveu, matthijs]","[1647, 1726]","[matthijs naiveu, naiveu, matthijs]","[1604, 1726]",1,"artuk_naiveu, matthijs, (1647-1726)",rijks_rjgd-matthijs-naiveu,"(7624, 3779)",17,"[43, 0]"
598,100,"[nooms, regnier, zeeman, r., nooms, renier, zeeman, remy, nooms, remigius, zeeman, remigius, nooms, reiner, zeeman, nooms (zeeman), reinier, reinier nooms, nooms, reinier, zeeman, reinier, nooms, remy, zeeman, regnier]","[1623, 1667]","[nooms, reinier, reinier nooms]","[1624, 1664]",1,"artuk_nooms (zeeman), reinier, (1623-1664)",rijks_rjgd-reinier-nooms,"(4382, 4596)",532,"[1, 3]"
942,100,"[pietro della vecchia, vecchia, pietro della]","[1602, 1678]","[pietro della vecchia, vecchia, pietro della]","[1605, 1678]",1,"artuk_pietro della vecchia, (1603-1678)",rijks_rjgd-pietro-della-vecchia,"(8620, 4545)",15,"[3, 0]"
220,100,"[pot, hendrik gerritsz., pot, hendrick gerritsz, hendrik gerritsz pot]","[1580, 1657]","[hendrik gerritsz. pot, pot, hendrik gerritsz.]","[1581, 1657]",1,"artuk_pot, hendrik gerritsz., (1585-1657)",rijks_rjgd-hendrik-gerritsz.-pot,"(2822, 2032)",24,"[1, 0]"
889,100,"[pourbus, pieter]","[1523, 1584]","[pieter pourbus, pourbus, pieter]","[1510, 1584]",1,"artuk_pourbus, pieter, (1523-1584)",rijks_rjgd-pieter-pourbus,"(7831, 4487)",17,"[13, 0]"
594,100,"[giulio cesare procaccini, procaccini, giulio cesare]","[1574, 1625]","[giulio cesare procaccini, procaccini, giulio cesare]","[1570, 1625]",1,"artuk_procaccini, giulio cesare, (1574-1625)",rijks_rjgd-giulio-cesare-procaccini,"(4374, 1820)",41,"[4, 0]"
