,"score","names_wiki","dates_wiki","names_googleart","dates_googleart","is_same","artist_id_wiki","artist_id_googleart",
41,100,"[utagawa toyokuni, 歌川豐國 (toyokuni i) (kurahashi kumakichi)]","[1769, 1825]","[toyokuni utagawa, utagawa toyokuni]","[1769, 1825]","True","utagawa-toyokuni","m01rtt8",
42,100,"[toyoshige (豊重), utagawa toyokuni ii]","[1777, 1835]","[toyokuni utagawa, utagawa toyokuni]","[1769, 1825]","0","utagawa-toyokuni-ii","m01rtt8",
43,100,"[james campbell noble]","[1845, 1913]","[james campbell]","[1828, 1893]","0","james-campbell-noble","m02qd7yl",
44,100,"[james campbell]","[1828, 1893]","[james campbell]","[1828, 1893]","True","james-campbell","m02qd7yl",
46,100,"[jose maria velasco, josé maría tranquilino francisco de jesús velasco gómez obregón]","[1840, 1912]","[josé maría velasco gómez]","[1840, 1912]","True","jose-maria-velasco","m03cpt_z",
47,100,"[omer uluc, ömer uluç]","[1931, 2010]","[barbara kruger, ömer uluҫ]","[1982.0, 1994.0]","0","omer-uluc","m059jlg",
48,100,"[barbara kruger]","[1980.0, 2007.0]","[barbara kruger, ömer uluҫ]","[1982.0, 1994.0]","True","barbara-kruger","m059jlg",
49,100,"[billy childish, steven john hamper]","[1996.0, 2011.0]","[billy]","[2014.0, 2014.0]","0","billy-childish","t218rckd533",
50,100,"[barrie bates, billy apple]","[1962.0, 2006.0]","[billy]","[2014.0, 2014.0]","0","billy-apple","t218rckd533",
51,96,"[claudio tozzi]","[1944, 2099]","[cláudio tozzi]","[1969.0, 2013.0]","1","claudio-tozzi","g122n616x",
52,95,"[ito shinsui, itō hajime  (伊東 一)]","[1898, 1972]","[shinsui itō]","[1898, 1972]","1","ito-shinsui","m07f4lv",
53,91,"[julian alden weir]","[1852, 1919]","[j. alden weir]","[1852, 1919]","1","julian-alden-weir","m02nl2l",
54,100,"[andrea del castagno, andrea di bartolo di bargilla]","[1421, 1457]","[andrea di bartolo]","[1389, 1428]","0","andrea-del-castagno","m0czdrnx",
55,100,"[artemisia gentileschi]","[1593, 1656]","[artemisia gentileschi]","[1593, 1653]","True","artemisia-gentileschi","m03bgcm",
56,100,"[banksy]","[1974, 2099]","[banksy]","[1981, 2099]","1","banksy","m023b7b",
57,100,"[bartolomeo veneto]","[1480, 1530]","[bartolomeo veneto]","[1480, 1530]","1","bartolomeo-veneto","m05zj8z3",
58,100,"[sam gilliam]","[1933, 2099]","[sam]","[1958, 2099]","0","sam-gilliam","t218rckhfc8","(1953, 3784)"
59,100,"[chu teh chun, chu teh-chun, 朱德群]","[1920, 2099]","[chu]","[2012.0, 2013.0]","0","chu-teh-chun","t218rckdgwb","(370, 3586)"
60,100,"[bencivieni di pepo (benvenuto di giuseppe) giovanni cimabue, cimabue]","[1251, 1302]","[cimabue]","[1240, 1302]","True","cimabue","m0205s","(375, 371)"
61,100,"[clara peeters]","[1594, 1657]","[clara peeters]","[1612.0, 1650.0]","1","clara-peeters","m0266vrh","(376, 432)"
62,100,"[cope2, fernando carlo]","[1968, 2099]","[cope2]","[2008.0, 2015.0]","1","cope2","t218rckdk86","(403, 3589)"
63,100,"[enzo cucchi]","[1949, 2099]","[enzo]","[2010.0, 2011.0]","0","enzo-cucchi","t218rckf0_h",
64,100,"[futura 2000, leonard mcgurr]","[1955, 2099]","[futura]","[1981.0, 2014.0]","1","futura-2000","t218rckf5dh",
65,100,"[jean-françois perroy, jef aerosol]","[1957, 2099]","[jef aerosol]","[2010.0, 2012.0]","1","jef-aerosol","t218rckfm4y",
66,100,"[johnny warangkula tjupurrula]","[1925, 2001]","[johnny warangkula tjupurrula]","[1918, 2001]","1","johnny-warangkula-tjupurrula","g122blpzj",
67,100,"[john andrew perello, jonone]","[1963, 2099]","[jonone]","[2014.0, 2014.0]","1","jonone","t2194x6w58s",
68,100,"[manuel rivera, manuel rivera hernández]","[1927, 1995]","[manuel rivera]","[1927, 1955]","1","manuel-rivera","m0vs9tq6",
69,100,"[martha diamond]","[1944, 2099]","[diamond]","[2012.0, 2012.0]","0","martha-diamond","t2194x6s3kt",
70,100,"[william shayer, william shayer the elder]","[1788, 1879]","[william j. shayer]","[1811, 1885]","0","william-shayer","m0t50cmh",
71,0,,,,,1,"johan-hendrik-weissenbruch","m026t8y5",
