,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wga","artist_id_artuk",
32,92,"[craesbeeck, josse van]","[1605, 1661]","[van craesbeeck, joos]","[1605, 1662]",1,"craesbeeck, josse van, (1605-1661)","van craesbeeck, joos, (1605-1662)",
79,92,"[hoet, gerard i]","[1648, 1733]","[hoet the elder, gerard]","[1648, 1733]",1,"hoet, gerard i, (1648-1733)","hoet the elder, gerard, (1648-1733)",
71,93,"[heemskerck, egbert van, the younger]","[1676, 1744]","[van heemskerck ii, egbert]","[1634, 1704]",0,"heemskerck, egbert van, the younger, (1676-1744)","van heemskerck ii, egbert, (1634-1704)",
178,93,"[taraval, hugues]","[1729, 1785]","[taraval, hughes]","[1729, 1785]",1,"taraval, hugues, (1729-1785)","taraval, hughes, (1729-1785)",
62,93,"[gijsbrechts, franciscus]","[1650, 1677]","[gysbrechts, franciscus]","[1650, 1680]",1,"gijsbrechts, franciscus, (1650-1677)","gysbrechts, franciscus, (1650-1680)",
139,93,"[peeters, gillis i]","[1612, 1653]","[teniers ii, david,  & peeters, gillis]","[1612, 1653]",0,"peeters, gillis i, (1612-1653)","teniers ii, david,  & peeters, gillis, (1612-1653)",
177,93,"[sweerts, michiel]","[1618, 1664]","[sweerts, michael]","[1618, 1664]",1,"sweerts, michiel, (1618-1664)","sweerts, michael, (1618-1664)",
68,93,"[gärtner, eduard]","[1801, 1877]","[gaertner, eduard]","[1801, 1877]",1,"gärtner, eduard, (1801-1877)","gaertner, eduard, (1801-1877)",
70,93,"[heemskerck, egbert jaspersz. van, the elder]","[1634, 1704]","[van heemskerck ii, egbert]","[1634, 1704]",1,"heemskerck, egbert jaspersz. van, the elder, (1634-1704)","van heemskerck ii, egbert, (1634-1704)",
179,93,"[teniers, david the elder]","[1582, 1649]","[teniers i, david]","[1582, 1649]",1,"teniers, david the elder, (1582-1649)","teniers i, david, (1582-1649)",
119,93,"[mercier, philip]","[1689, 1760]","[mercier, philippe]","[1689, 1760]",1,"mercier, philip, (1689-1760)","mercier, philippe, (1689-1760)",
166,93,"[segna di buonaventure]","[1298, 1331]","[segna di bonaventura]","[1326, 1331]",1,"segna di buonaventure, (1298-1331)","segna di bonaventura, (1326-1331)",
82,93,"[hone, nathaniel the elder]","[1718, 1784]","[hone i, nathaniel]","[1718, 1784]",1,"hone, nathaniel the elder, (1718-1784)","hone i, nathaniel, (1718-1784)",
116,93,"[master of st francis]","[1260, 1280]","[master of saint francis]","[1260, 1272]",1,"master of st francis, (1260-1280)","master of saint francis, (1260-1272)",
171,93,"[spada, lionello]","[1576, 1622]","[spada, leonello]","[1576, 1622]",1,"spada, lionello, (1576-1622)","spada, leonello, (1576-1622)",
