,score,names_wiki+googleart+wga,dates_wiki+googleart+wga,names_meisterwerke,dates_meisterwerke,is_same,artist_id_wiki+googleart+wga,artist_id_meisterwerke,idx,total_works_count,year_diff
0,100,"[canaletto, giovanni antonio canal]","[1697, 1768]",[canaletto (ii) (werkstatt)],"[1750.0, 1750.0]",1,canaletto,canaletto (ii) (werkstatt),"(298, 295)",447,"[53.0, 18.0]"
1,100,"[canaletto, giovanni antonio canal]","[1697, 1768]",[canaletto (i)],"[1723.0, 1766.0]",0,canaletto,canaletto (i),"(298, 293)",547,"[26.0, 2.0]"
2,100,"[canaletto, giovanni antonio canal]","[1697, 1768]",[canaletto (ii)],"[1740.0, 1779.0]",0,canaletto,canaletto (ii),"(298, 294)",583,"[43.0, 11.0]"
3,100,"[dieric bouts, dirk bouts]","[1415, 1577.0]","[bouts, dieric]","[1450.0, 1475.0]",0,dirk-bouts,"bouts, dieric","(469, 225)",69,"[35.0, 102.0]"
4,100,"[dieric bouts, dirk bouts]","[1415, 1577.0]","[bouts, dieric (nachfolger)]","[1500.0, 1500.0]",1,dirk-bouts,"bouts, dieric (nachfolger)","(469, 226)",56,"[85.0, 77.0]"
5,100,"[lippi, fra filippo, fra' filippo lippi, filippo lippi]","[1406, 1469]","[lippi, fra filippo (und gehilfen)]","[1450.0, 1450.0]",1,m03kb6h,"lippi, fra filippo (und gehilfen)","(617, 1070)",272,"[44.0, 19.0]"
6,100,"[lippi, fra filippo, fra' filippo lippi, filippo lippi]","[1406, 1469]","[lippi, fra filippo]","[1426.0, 1489.0]",1,m03kb6h,"lippi, fra filippo","(617, 1069)",416,"[20.0, 20.0]"
7,100,"[vasari, giorgio, giorgio vasari]","[1511, 1574]","[vasari, giorgio (gehilfen)]","[1550.0, 1550.0]",1,m0pvnq,"vasari, giorgio (gehilfen)","(775, 2026)",245,"[39.0, 24.0]"
8,100,"[vasari, giorgio, giorgio vasari]","[1511, 1574]","[vasari, giorgio]","[1540.0, 1566.0]",1,m0pvnq,"vasari, giorgio","(775, 2025)",245,"[29.0, 8.0]"
9,100,"[giotto, giotto di bondone]","[1266, 1337]",[giotto di bondone],"[1294.0, 1350.0]",1,giotto,giotto di bondone,"(777, 660)",924,"[28.0, 13.0]"
10,100,"[giotto, giotto di bondone]","[1266, 1337]",[giotto di bondone (und werkstatt)],"[1298.0, 1298.0]",1,giotto,giotto di bondone (und werkstatt),"(777, 661)",714,"[32.0, 39.0]"
11,100,"[claesz., pieter, pieter claesz]","[1597, 1661]","[claesz., pieter (werkstatt)]","[1634.0, 1634.0]",1,"claesz., pieter, (1597-1661)","claesz., pieter (werkstatt)","(1794, 378)",77,"[37.0, 27.0]"
12,100,"[claesz., pieter, pieter claesz]","[1597, 1661]","[claesz., pieter]","[1622.0, 1651.0]",1,"claesz., pieter, (1597-1661)","claesz., pieter","(1794, 377)",84,"[25.0, 10.0]"
13,100,"[pisanello, antonio di puccio pisano (antonio di puccio da cereto)]","[1395, 1455]",[norditalienischer meister im stil des pisanello],"[1450.0, 1450.0]",0,pisanello,norditalienischer meister im stil des pisanello,"(1804, 1517)",72,"[55.0, 5.0]"
14,100,"[pisanello, antonio di puccio pisano (antonio di puccio da cereto)]","[1395, 1455]",[pisanello],"[1420.0, 1450.0]",1,pisanello,pisanello,"(1804, 1614)",96,"[25.0, 5.0]"
15,100,"[rembrandt harmenszoon van rijn, rembrandt]","[1606, 1669]",[rembrandt (kopist)],"[1631.0, 1631.0]",1,m0bskv2,rembrandt (kopist),"(1838, 1696)",2842,"[25.0, 38.0]"
16,100,"[rembrandt harmenszoon van rijn, rembrandt]","[1606, 1669]",[rembrandt harmensz. van rijn (schule)],"[1650.0, 1650.0]",1,m0bskv2,rembrandt harmensz. van rijn (schule),"(1838, 1698)",2842,"[44.0, 19.0]"
17,100,"[rembrandt harmenszoon van rijn, rembrandt]","[1606, 1669]",[rembrandt harmensz. van rijn],"[1625.0, 1669.0]",1,m0bskv2,rembrandt harmensz. van rijn,"(1838, 1697)",2986,"[19.0, 0.0]"
18,100,"[rogier de le pasture, rogier van der weyden, weyden, rogier van der]","[1399, 1464]","[weyden, rogier van der]","[1430.0, 1459.0]",1,"weyden, rogier van der, (1400-1464)","weyden, rogier van der","(1914, 2119)",310,"[31.0, 5.0]"
